dataset,model,strategy,n,strict_acc,prediction_missing_rate,bare_letter_response_rate,median_response_chars,mean_response_chars,think_tag_rate,object_object_rate
arc_challenge,gemma_4_26b_a4b,cot,238,0.8907563025210085,0.07983193277310924,0.5126050420168067,1.0,214.0252100840336,0.0,0.0
arc_challenge,gemma_4_e2b,cot,238,0.7689075630252101,0.0,1.0,1.0,1.0,0.0,0.0
arc_challenge,gemma_4_e4b,cot,238,0.8907563025210085,0.01680672268907563,0.957983193277311,1.0,24.1218487394958,0.0,0.0
arc_challenge,phi_4_mini_reasoning,cot,238,0.2689075630252101,0.0,0.004201680672268907,1215.5,1181.4663865546217,0.9957983193277311,0.0
arc_challenge,phi_4_reasoning,cot,238,0.29411764705882354,0.0,0.008403361344537815,1065.5,1055.638655462185,0.9915966386554622,0.0
arc_challenge,qwen3_30b_a3b,cot,238,0.3949579831932773,0.004201680672268907,0.15126050420168066,1163.5,992.781512605042,0.8487394957983193,0.0
arc_challenge,qwen3_8b,cot,238,0.3403361344537815,0.012605042016806723,0.10504201680672269,1185.0,1057.7941176470588,0.8949579831932774,0.0
arc_challenge,gemma_4_26b_a4b,few_shot_cot,238,0.9369747899159664,0.0,0.01680672268907563,6.0,85.1218487394958,0.0,0.0
arc_challenge,gemma_4_e2b,few_shot_cot,238,0.726890756302521,0.0,1.0,1.0,1.0,0.0,0.0
arc_challenge,gemma_4_e4b,few_shot_cot,238,0.8907563025210085,0.004201680672268907,0.8991596638655462,1.0,39.49159663865546,0.0,0.0
arc_challenge,phi_4_mini_reasoning,few_shot_cot,238,0.28991596638655465,0.008403361344537815,0.0,1213.0,1167.7226890756303,0.9705882352941176,0.0
arc_challenge,phi_4_reasoning,few_shot_cot,238,0.2773109243697479,0.0,0.0,1119.0,1134.4033613445379,1.0,0.0
arc_challenge,qwen3_30b_a3b,few_shot_cot,238,0.48739495798319327,0.01680672268907563,0.28991596638655465,1163.5,839.4159663865546,0.7016806722689075,0.0
